FBgn;CG;NAME;Group;F2_A;F2_B;F2_C;F2_D;F2_E;F2_F
FBgn0033216;CG1946;-;FACS;FBgn0003071;FBgn0017558;FBgn0001098;FBgn0020236;FBgn0004057;FBgn0004914
FBgn0001098;CG5320;Glutamate dehydrogenase;FACS;FBgn0267385;FBgn0028325;FBgn0030478;FBgn0033246;FBgn0004654;FBgn0261283
FBgn0004797;CG31991;midway;FACS;FBgn0038952;FBgn0261955;FBgn0036927;FBgn0283427;FBgn0030239;FBgn0032940
FBgn0052699;CG32699;Lysophosphatidylcholine acyltransferase;FACS;FBgn0038258;FBgn0037988;FBgn0001124;FBgn0029975;FBgn0002719;FBgn0039509
FBgn0262782;CG5362;Malate dehydrogenase 1;FACS;FBgn0031462;FBgn0010100;FBgn0001125;FBgn0027579;FBgn0010222;FBgn0014135
FBgn0028325;CG7010;Pyruvate dehydrogenase E1 alpha subunit 1;FACS;FBgn0022160;FBgn0001248;FBgn0027580;FBgn0034971;FBgn0036157;
FBgn0030731;CG3415;peroxisomal Multifunctional enzyme type 2;FACS;FBgn0283450;FBgn0010352;FBgn0003067;FBgn0036622;FBgn0020385;
FBgn0267385;CG7070;Pyruvate kinase;FACS;FBgn0001258;FBgn0261439;FBgn0034356;FBgn0263593;;
FBgn0033214;CG1941;-;FACS;FBgn0266064;FBgn0262559;FBgn0032820;FBgn0033216;;
FBgn0030421;CG3812;1-Acylglycerol-3-phosphate O-acyltransferase 1;FACS;;FBgn0262782;FBgn0031463;FBgn0020930;;
FBgn0022160;CG8256;Glycerophosphate oxidase 1;FACS;;FBgn0011211;;FBgn0030731;;
FBgn0085390;CG34361;Diacyl glycerol kinase;FACS;;FBgn0031830;;;;
FBgn0033215;CG1942;Diacylglycerol O-acyltransferase 2;FACS;;FBgn0021906;;;;
FBgn0002719;CG10120;Malic enzyme;FACS;;;;;;
FBgn0010100;CG9244;Mitochondrial aconitase 1;FACS;;;;;;
FBgn0034356;CG10924;Phosphoenolpyruvate carboxykinase 2;FACS;;;;;;
FBgn0263593;CG8709;Lipin;FACS;;;;;;
FBgn0037356;CG12170;-;FACS;;;;;;
FBgn0004057;CG12529;Glucose-6-phosphate dehydrogenase;FACS;;;;;;
FBgn0283427;CG3523;Fatty acid synthase 1;FACS;;;;;;
FBgn0020930;CG8657;Diacyl glycerol kinase epsilon;FACS;;;;;;
FBgn0033246;CG11198;Acetyl-CoA carboxylase;FACS;;;;;;
FBgn0087002;CG11064;apolipophorin;FACS;;;;;;
FBgn0261283;CG8522;Sterol regulatory element binding protein;FACS;;;;;;
FBgn0004914;CG9310;Hepatocyte nuclear factor 4;FACS;;;;;;
FBgn0034971;CG3209;Glycerol-3-phosphate acyltransferase 4;FACS;;;;;;
FBgn0036691;CG7842;bad egg;FACS;;;;;;
FBgn0010222;CG18466;NAD-dependent methylenetetrahydrofolate dehydrogenase;FACS;;;;;;
FBgn0033679;CG8888;-;FACS;;;;;;
FBgn0029975;CG1444;spidey;FACS;;;;;;
FBgn0004654;CG3724;Phosphogluconate dehydrogenase;FACS;;;;;;
FBgn0030239;CG17333;6-phosphogluconolactonase;FACS;;;;;;
FBgn0020236;CG8322;ATP citrate lyase;FACS;;;;;;
FBgn0020385;CG4067;pugilist;FACS;;;;;;
FBgn0031830;CG11015;Cytochrome c oxidase subunit 5B;FACS;;;;;;
FBgn0004654;CG3724;Phosphogluconate dehydrogenase;FACS;;;;;;
FBgn0039543;CG12428;Carnitine O-octanoyltransferase;FACS;;;;;;
FBgn0021906;CG7361;Rieske iron-sulfur protein;FACS;;;;;;
FBgn0262559;CG7998;Malate dehydrogenase 2;FACS;;;;;;
FBgn0036157;CG7560;-;FACS;;;;;;
FBgn0003071;CG4001;Phosphofructokinase;FACS;;;;;;
FBgn0010352;CG11661;Oxoglutarate dehydrogenase 1;FACS;;;;;;
FBgn0014135;CG4608;branchless;FACS;;;;;;
FBgn0036622;CG4753;1-Acylglycerol-3-phosphate O-acyltransferase 4;FACS;;;;;;
FBgn0262656;CG10798;Myc;FACS;;;;;;
FBgn0001248;CG7176;Isocitrate dehydrogenase (NADP+);FACS;;;;;;
FBgn0261439;CG17246;Succinate dehydrogenase, subunit A (flavoprotein);FACS;;;;;;
FBgn0039509;CG3350;bigmax;FACS;;;;;;
FBgn0032940;CG18362;Mondo;FACS;;;;;;
FBgn0011211;CG3612;bellwether;FACS;;;;;;
FBgn0029118;CG10622;Succinyl-coenzyme A synthetase beta subunit, GDP-forming;FACS;;;;;;
FBgn0283499;CG18402;Insulin-like receptor;FACS;;;;;;
FBgn0040212;CG4625;Glyceronephosphate O-acyltransferase;FACS;;;;;;
FBgn0011768;CG6598;Formaldehyde dehydrogenase;FACS;;;;;;
FBgn0261955;CG3861;Citrate synthase 1;FACS;;;;;;
FBgn0038952;CG7069;-;FACS;;;;;;
FBgn0026718;CG17608;1-Acylglycerol-3-phosphate O-acyltransferase 2;FACS;;;;;;
FBgn0261862;CG12891;withered;FACS;;;;;;
FBgn0037988;CG14740;Citrate synthase 2;FACS;;;;;;
FBgn0000055;CG3481;Alcohol dehydrogenase;FACS;;;;;;
FBgn0028336;CG4094;;FACS;;;;;;
FBgn0027579;CG5508;minotaur;FACS;;;;;;
FBgn0037891;CG5214;Dihydrolipoamide S-succinyltransferase;FACS;;;;;;
