Experiment;Name;Time HS;Days post-HS;mCherry;mCitrine;mTurquoise2;GFP;Tumor;mCherry in tumors;mCitrine in tumors;mTurquoise2 in tumors;GFP in tumors;Tumor location;Standardized image;;
230224 countings Flybow 20X 3d post HS 1h;1-1;1 hr;3;0;0;0;1;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;1-2;1 hr;3;1;0;0;2;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;1-3;1 hr;3;0;0;0;1;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;1-4;1 hr;3;2;0;0;8;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;1-4 bis;1 hr;3;3;2;0;6;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;1-5;1 hr;3;1;0;0;3;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;2-1;1 hr;3;0;0;0;3;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;2-2;1 hr;3;0;1;0;5;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;2-3;1 hr;3;2;0;1;9;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;2-3 bis;1 hr;3;0;2;1;7;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;2-4;1 hr;3;0;0;0;2;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;2-5;1 hr;3;0;0;0;3;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;3-1;1 hr;3;0;0;0;2;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;3-2;1 hr;3;0;1;0;9;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;3-3;1 hr;3;0;1;2;9;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;3-4;1 hr;3;0;0;0;4;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;4-1;1 hr;3;0;0;0;2;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;4-2;1 hr;3;1;0;0;9;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;4-3;1 hr;3;0;0;2;1;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;5-1;1 hr;3;0;0;1;3;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;5-2;1 hr;3;0;0;0;1;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;6-1;1 hr;3;0;0;0;2;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;6-2;1 hr;3;0;0;0;4;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;6-3;1 hr;3;2;2;0;7;F;0;0;0;0;;No;;
230224 countings Flybow 20X 3d post HS 1h;6-3 bis;1 hr;3;2;1;0;8;F;0;0;0;0;;No;;
230207 Flybow HS 0103 1h 5d;1-1;1 hr;5;5;0;3;16;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;1-2;1 hr;5;3;1;0;7;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;1-3;1 hr;5;6;0;1;15;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;1-4;1 hr;5;2;0;1;15;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;1-5;1 hr;5;4;3;2;15;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;1-6;1 hr;5;2;2;1;12;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;2-1;1 hr;5;5;0;4;9;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;2-2;1 hr;5;3;1;1;6;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;2-3;1 hr;5;5;2;2;9;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;2-4;1 hr;5;2;1;1;7;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;2-5;1 hr;5;3;2;4;10;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;2-6;1 hr;5;2;1;2;10;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;3-1;1 hr;5;3;0;2;11;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;3-2;1 hr;5;4;1;2;12;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;3-3;1 hr;5;2;1;2;22;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;3-4;1 hr;5;1;1;4;19;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;3-5;1 hr;5;4;1;2;9;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;3-6;1 hr;5;3;3;3;13;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;4-1;1 hr;5;0;0;0;4;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;4-2;1 hr;5;4;1;5;16;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;4-3;1 hr;5;4;1;3;14;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;4-4;1 hr;5;5;0;4;8;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;4-5;1 hr;5;2;1;1;9;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;5-2;1 hr;5;2;2;0;5;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;5-3;1 hr;5;1;0;2;5;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;5-4;1 hr;5;1;1;0;4;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;5-5;1 hr;5;6;1;3;6;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;5-6;1 hr;5;0;0;0;7;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;5-7;1 hr;5;1;0;1;5;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;6-1;1 hr;5;2;0;1;6;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;6-2;1 hr;5;2;1;2;6;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;6-3;1 hr;5;6;3;0;14;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;6-4;1 hr;5;5;3;2;12;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;6-6;1 hr;5;3;0;0;9;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;6-7;1 hr;5;0;1;2;5;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0103 1h 5d;6-8;1 hr;5;2;0;2;5;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;1-1;1 hr;4;3;2;1;26;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;1-2;1 hr;4;1;4;2;28;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;1-3;1 hr;4;3;3;0;11;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;1-4;1 hr;4;0;1;1;13;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;1-6;1 hr;4;2;2;1;36;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;1-8;1 hr;4;1;1;1;13;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;2-1;1 hr;4;1;0;0;8;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;2-2;1 hr;4;1;0;0;4;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;2-3;1 hr;4;0;0;0;3;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;2-4;1 hr;4;2;0;1;6;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;2-5;1 hr;4;0;0;0;5;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;2-6;1 hr;4;0;0;0;14;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;2-7;1 hr;4;0;0;1;11;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;3-1;1 hr;4;0;2;0;2;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;3-2;1 hr;4;0;0;1;4;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;3-3;1 hr;4;3;0;0;14;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;3-4;1 hr;4;1;1;2;14;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;3-5;1 hr;4;2;0;0;8;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;3-6;1 hr;4;0;0;0;6;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;4-1;1 hr;4;3;0;2;25;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;4-2;1 hr;4;2;2;0;28;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;4-3;1 hr;4;2;0;2;14;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;4-4;1 hr;4;2;0;3;26;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;4-5;1 hr;4;4;1;1;34;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;4-6;1 hr;4;1;0;1;35;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;5-7;1 hr;4;4;1;2;23;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;5-8;1 hr;4;2;1;1;23;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;5-10;1 hr;4;5;2;1;18;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;6-1;1 hr;4;0;0;0;16;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;6-2;1 hr;4;0;0;0;16;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;6-3;1 hr;4;0;1;1;14;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;6-4;1 hr;4;0;0;0;17;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;6-5;1 hr;4;0;0;0;6;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;6-6;1 hr;4;0;1;0;10;F;0;0;0;0;Midgut;No;;
230207 Flybow HS 0302 1h 4d;6-7;1 hr;4;0;0;0;2;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;1-1;1 hr;22;0;2;3;8;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;1-3;1 hr;22;1;0;0;7;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;1-4;1 hr;22;1;0;0;3;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;1-8;1 hr;22;4;2;2;6;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;1-9;1 hr;22;1;1;1;6;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;2-2;1 hr;22;1;0;0;6;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;2-4;1 hr;22;1;1;1;9;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;2-6;1 hr;22;2;1;2;5;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;3-2;1 hr;22;1;1;3;4;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;3-3;1 hr;22;2;0;0;9;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;3-4;1 hr;22;2;0;0;10;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;3-5;1 hr;22;4;0;0;5;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;3-7;1 hr;22;2;2;0;4;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;4-1;1 hr;22;2;1;1;5;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;4-2;1 hr;22;2;0;0;12;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;5-3;1 hr;22;1;0;0;7;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;5-7;1 hr;22;4;4;5;4;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;6-1;1 hr;22;2;0;1;6;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;6-2;1 hr;22;3;1;0;5;F;0;0;0;0;Midgut;No;;
230320 Flybow HS2002 1h 22d post HS;6-5;1 hr;22;3;0;1;3;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;1-3;1 hr 30 min;4;4;4;4;7;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;2-1;1 hr 30 min;4;3;2;2;8;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;2-2;1 hr 30 min;4;3;0;3;5;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;3-1;1 hr 30 min;4;2;0;3;9;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;3-2;1 hr 30 min;4;2;0;3;12;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;3-3;1 hr 30 min;4;0;0;0;5;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;4-2;1 hr 30 min;4;1;1;0;2;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;4-3;1 hr 30 min;4;3;1;2;13;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;4-4;1 hr 30 min;4;3;3;3;9;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;4-5;1 hr 30 min;4;1;0;0;2;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;5-2;1 hr 30 min;4;4;2;0;14;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;6-1;1 hr 30 min;4;2;1;1;7;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;6-2;1 hr 30 min;4;5;1;3;16;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;6-3;1 hr 30 min;4;2;1;2;12;F;0;0;0;0;Midgut;No;;
HS 230224 1h30 4d;6-4;1 hr 30 min;4;2;1;1;7;F;0;0;0;0;Midgut;No;;
230102 tests reenforced line 4d;ITA 1-1;2 hr;4;5;2;1;13;F;0;0;0;0;;No;;
230102 tests reenforced line 4d;ITA 1-2;2 hr;4;2;4;2;8;F;0;0;0;0;;No;;
230102 tests reenforced line 4d;ITA 1-3;2 hr;4;5;2;4;8;F;0;0;0;0;;No;;
230102 tests reenforced line 4d;ITA 2-1;2 hr;4;5;5;6;2;F;0;0;0;0;;No;;
230102 tests reenforced line 4d;ITA 4-1;2 hr;4;3;2;1;5;F;0;0;0;0;;No;;
HS 230207 2h 21d;2-2;2 hr;21;3;1;2;5;F;0;0;0;0;Midgut;No;;
HS 230207 2h 21d;4-2;2 hr;21;0;1;1;6;F;0;0;0;0;Midgut;No;;
HS 230207 2h 21d;5-1;2 hr;21;5;1;1;10;F;0;0;0;0;Midgut;No;;
HS 230207 2h 21d;6-1;2 hr;21;2;0;0;1;F;0;0;0;0;Midgut;No;;
HS 230208 2h 21d;1-3;2 hr;21;2;0;2;8;F;0;0;0;0;Midgut;No;;
HS 230208 2h 21d;2-3;2 hr;21;1;1;0;4;F;0;0;0;0;Midgut;No;;
HS 230208 2h 21d;3-1;2 hr;21;1;0;2;2;F;0;0;0;0;Midgut;No;;
HS 230208 2h 21d;3-2;2 hr;21;1;0;0;1;F;0;0;0;0;Midgut;No;;
HS 230208 2h 21d;4-2;2 hr;21;1;0;1;1;F;0;0;0;0;Midgut;No;;
HS 230208 2h 21d;6-1;2 hr;21;0;0;0;3;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-1;2 hr;4;0;0;0;1;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-2;2 hr;4;1;1;1;3;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-3;2 hr;4;2;1;3;3;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-4;2 hr;4;0;0;1;7;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-5;2 hr;4;1;0;2;7;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-6;2 hr;4;0;0;0;1;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-7;2 hr;4;1;0;1;3;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-8;2 hr;4;3;1;2;11;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-9;2 hr;4;2;1;4;13;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-10;2 hr;4;4;3;2;7;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;1-11;2 hr;4;1;1;2;7;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;2-2;2 hr;4;2;1;1;3;F;0;0;0;0;Midgut;No;;
230207 Flybow HS0203 2h 4d;2-3;2 hr;4;3;0;3;10;F;0;0;0;0;Midgut;No;;
