FBgn;Function
FBgn0032381;Sucrose and starch
FBgn0032381;Sucrose and starch
FBgn0032382;Sucrose and starch
FBgn0032382;Sucrose and starch
FBgn0002569;Sucrose and starch
FBgn0002569;Sucrose and starch
FBgn0002571;Sucrose and starch
FBgn0002571;Sucrose and starch
FBgn0033294;Sucrose and starch
FBgn0033294;Sucrose and starch
FBgn0033296;Sucrose and starch
FBgn0033296;Sucrose and starch
FBgn0038619;Sucrose and starch
FBgn0002570;Sucrose and starch
FBgn0002570;Sucrose and starch
FBgn0033297;Sucrose and starch
FBgn0033297;Sucrose and starch
FBgn0035978;Sucrose and starch
FBgn0035978;Sucrose and starch
FBgn0266064;Sucrose and starch
FBgn0266064;Sucrose and starch
FBgn0265191;Sucrose and starch
FBgn0265191;Sucrose and starch
FBgn0053138;Sucrose and starch
FBgn0053138;Sucrose and starch
FBgn0004507;Sucrose and starch
FBgn0004507;Sucrose and starch
FBgn0034618;Sucrose and starch
FBgn0034618;Sucrose and starch
FBgn0000079;Sucrose and starch
FBgn0000079;Sucrose and starch
FBgn0000078;Sucrose and starch
FBgn0000078;Sucrose and starch
FBgn0020506;Sucrose and starch
FBgn0020506;Sucrose and starch
FBgn0031908;Sucrose and starch
FBgn0031907;Sucrose and starch
FBgn0027560;Sucrose and starch
FBgn0027560;Sucrose and starch
FBgn0034121;Sucrose and starch
FBgn0003748;Sucrose and starch
FBgn0003748;Sucrose and starch
FBgn0003076;Sucrose and starch
FBgn0003076;Sucrose and starch
FBgn0033377;Sucrose and starch
FBgn0033377;Sucrose and starch
FBgn0033969;Sucrose and starch
FBgn0033969;Sucrose and starch
FBgn0001187;Sucrose and starch
FBgn0001187;Sucrose and starch
FBgn0042710;Sucrose and starch
FBgn0042710;Sucrose and starch
FBgn0001186;Sucrose and starch
FBgn0001186;Sucrose and starch
FBgn0042711;Sucrose and starch
FBgn0042711;Sucrose and starch
FBgn0031463;Sucrose and starch
FBgn0031463;Sucrose and starch
FBgn0003074;Sucrose and starch
FBgn0003074;Sucrose and starch
FBgn0012034;Glyoxylate and dicarboxylate
FBgn0012034;Glyoxylate and dicarboxylate
FBgn0029722;Glyoxylate and dicarboxylate
FBgn0028325;Glyoxylate and dicarboxylate
FBgn0028325;Glyoxylate and dicarboxylate
FBgn0039635;Glyoxylate and dicarboxylate
FBgn0039635;Glyoxylate and dicarboxylate
FBgn0283658;Glyoxylate and dicarboxylate
FBgn0283658;Glyoxylate and dicarboxylate
FBgn0289579;Glyoxylate and dicarboxylate
FBgn0289579;Glyoxylate and dicarboxylate
FBgn0000055;Glyoxylate and dicarboxylate
FBgn0000055;Glyoxylate and dicarboxylate
FBgn0011768;Glyoxylate and dicarboxylate
FBgn0011768;Glyoxylate and dicarboxylate
FBgn0037537;Glyoxylate and dicarboxylate
FBgn0038952;Glyoxylate and dicarboxylate
FBgn0267385;Glyoxylate and dicarboxylate
FBgn0267385;Glyoxylate and dicarboxylate
FBgn0038258;Glyoxylate and dicarboxylate
FBgn0031462;Glyoxylate and dicarboxylate
FBgn0037115;Glyoxylate and dicarboxylate
FBgn0036723;Glyoxylate and dicarboxylate
FBgn0033246;Glyoxylate and dicarboxylate
FBgn0033246;Glyoxylate and dicarboxylate
FBgn0025115;Glyoxylate and dicarboxylate
FBgn0025115;Glyoxylate and dicarboxylate
FBgn0031700;Glyoxylate and dicarboxylate
FBgn0038363;Glyoxylate and dicarboxylate
FBgn0038363;Glyoxylate and dicarboxylate
FBgn0040524;Glyoxylate and dicarboxylate
FBgn0030078;Glyoxylate and dicarboxylate
FBgn0033893;Glyoxylate and dicarboxylate
FBgn0085190;Glyoxylate and dicarboxylate
FBgn0012036;Glyoxylate and dicarboxylate
FBgn0012036;Glyoxylate and dicarboxylate
FBgn0051075;Glyoxylate and dicarboxylate
FBgn0036857;Glyoxylate and dicarboxylate
FBgn0036857;Glyoxylate and dicarboxylate
FBgn0001258;Glyoxylate and dicarboxylate
FBgn0001258;Glyoxylate and dicarboxylate
FBgn0033856;Glyoxylate and dicarboxylate
FBgn0283450;Glyoxylate and dicarboxylate
FBgn0283450;Glyoxylate and dicarboxylate
FBgn0037024;Glyoxylate and dicarboxylate
FBgn0037024;Glyoxylate and dicarboxylate
FBgn0037370;Glyoxylate and dicarboxylate
FBgn0002719;Glyoxylate and dicarboxylate
FBgn0002719;Glyoxylate and dicarboxylate
FBgn0029155;Glyoxylate and dicarboxylate
FBgn0029155;Glyoxylate and dicarboxylate
FBgn0034127;Glyoxylate and dicarboxylate
FBgn0029154;Glyoxylate and dicarboxylate
FBgn0029154;Glyoxylate and dicarboxylate
FBgn0029153;Glyoxylate and dicarboxylate
FBgn0029153;Glyoxylate and dicarboxylate
FBgn0027580;Glyoxylate and dicarboxylate
FBgn0027580;Glyoxylate and dicarboxylate
FBgn0262782;Glyoxylate and dicarboxylate
FBgn0262782;Glyoxylate and dicarboxylate
FBgn0036327;Glyoxylate and dicarboxylate
FBgn0036328;Glyoxylate and dicarboxylate
FBgn0262559;Glyoxylate and dicarboxylate
FBgn0262559;Glyoxylate and dicarboxylate
FBgn0286222;Glyoxylate and dicarboxylate
FBgn0286222;Glyoxylate and dicarboxylate
FBgn0036162;Glyoxylate and dicarboxylate
FBgn0036162;Glyoxylate and dicarboxylate
FBgn0051874;Glyoxylate and dicarboxylate
FBgn0051874;Glyoxylate and dicarboxylate
FBgn0029890;Glyoxylate and dicarboxylate
FBgn0029890;Glyoxylate and dicarboxylate
FBgn0034356;Glyoxylate and dicarboxylate
FBgn0034356;Glyoxylate and dicarboxylate
FBgn0003067;Glyoxylate and dicarboxylate
FBgn0003067;Glyoxylate and dicarboxylate
FBgn0029969;Glyoxylate and dicarboxylate
FBgn0029969;Glyoxylate and dicarboxylate
FBgn0035203;Glyoxylate and dicarboxylate
FBgn0035203;Glyoxylate and dicarboxylate
FBgn0001187;Glycolysis and neoglucogenesis
FBgn0001187;Glycolysis and neoglucogenesis
FBgn0042710;Glycolysis and neoglucogenesis
FBgn0042710;Glycolysis and neoglucogenesis
FBgn0001186;Glycolysis and neoglucogenesis
FBgn0001186;Glycolysis and neoglucogenesis
FBgn0042711;Glycolysis and neoglucogenesis
FBgn0042711;Glycolysis and neoglucogenesis
FBgn0003074;Glycolysis and neoglucogenesis
FBgn0003074;Glycolysis and neoglucogenesis
FBgn0003071;Glycolysis and neoglucogenesis
FBgn0003071;Glycolysis and neoglucogenesis
FBgn0032820;Glycolysis and neoglucogenesis
FBgn0032820;Glycolysis and neoglucogenesis
FBgn0000064;Glycolysis and neoglucogenesis
FBgn0000064;Glycolysis and neoglucogenesis
FBgn0039425;Glycolysis and neoglucogenesis
FBgn0039425;Glycolysis and neoglucogenesis
FBgn0086355;Glycolysis and neoglucogenesis
FBgn0086355;Glycolysis and neoglucogenesis
FBgn0001092;Glycolysis and neoglucogenesis
FBgn0001092;Glycolysis and neoglucogenesis
FBgn0001091;Glycolysis and neoglucogenesis
FBgn0001091;Glycolysis and neoglucogenesis
FBgn0034173;Glycolysis and neoglucogenesis
FBgn0250906;Glycolysis and neoglucogenesis
FBgn0250906;Glycolysis and neoglucogenesis
FBgn0031451;Glycolysis and neoglucogenesis
FBgn0011270;Glycolysis and neoglucogenesis
FBgn0011270;Glycolysis and neoglucogenesis
FBgn0014869;Glycolysis and neoglucogenesis
FBgn0014869;Glycolysis and neoglucogenesis
FBgn0038957;Glycolysis and neoglucogenesis
FBgn0000579;Glycolysis and neoglucogenesis
FBgn0000579;Glycolysis and neoglucogenesis
FBgn0038952;Glycolysis and neoglucogenesis
FBgn0267385;Glycolysis and neoglucogenesis
FBgn0267385;Glycolysis and neoglucogenesis
FBgn0038258;Glycolysis and neoglucogenesis
FBgn0031462;Glycolysis and neoglucogenesis
FBgn0037115;Glycolysis and neoglucogenesis
FBgn0036723;Glycolysis and neoglucogenesis
FBgn0029722;Glycolysis and neoglucogenesis
FBgn0028325;Glycolysis and neoglucogenesis
FBgn0028325;Glycolysis and neoglucogenesis
FBgn0039635;Glycolysis and neoglucogenesis
FBgn0039635;Glycolysis and neoglucogenesis
FBgn0283658;Glycolysis and neoglucogenesis
FBgn0283658;Glycolysis and neoglucogenesis
FBgn0289579;Glycolysis and neoglucogenesis
FBgn0289579;Glycolysis and neoglucogenesis
FBgn0001258;Glycolysis and neoglucogenesis
FBgn0001258;Glycolysis and neoglucogenesis
FBgn0033856;Glycolysis and neoglucogenesis
FBgn0011768;Glycolysis and neoglucogenesis
FBgn0011768;Glycolysis and neoglucogenesis
FBgn0000055;Glycolysis and neoglucogenesis
FBgn0000055;Glycolysis and neoglucogenesis
FBgn0037537;Glycolysis and neoglucogenesis
FBgn0012036;Glycolysis and neoglucogenesis
FBgn0012036;Glycolysis and neoglucogenesis
FBgn0051075;Glycolysis and neoglucogenesis
FBgn0036857;Glycolysis and neoglucogenesis
FBgn0036857;Glycolysis and neoglucogenesis
FBgn0010548;Glycolysis and neoglucogenesis
FBgn0010548;Glycolysis and neoglucogenesis
FBgn0012034;Glycolysis and neoglucogenesis
FBgn0012034;Glycolysis and neoglucogenesis
FBgn0030525;Glycolysis and neoglucogenesis
FBgn0032372;Glycolysis and neoglucogenesis
FBgn0035679;Glycolysis and neoglucogenesis
FBgn0035679;Glycolysis and neoglucogenesis
FBgn0052445;Glycolysis and neoglucogenesis
FBgn0043783;Glycolysis and neoglucogenesis
FBgn0043783;Glycolysis and neoglucogenesis
FBgn0003076;Glycolysis and neoglucogenesis
FBgn0003076;Glycolysis and neoglucogenesis
FBgn0033377;Glycolysis and neoglucogenesis
FBgn0033377;Glycolysis and neoglucogenesis
FBgn0033969;Glycolysis and neoglucogenesis
FBgn0033969;Glycolysis and neoglucogenesis
FBgn0031463;Glycolysis and neoglucogenesis
FBgn0031463;Glycolysis and neoglucogenesis
FBgn0036402;Glycolysis and neoglucogenesis
FBgn0028540;Glycolysis and neoglucogenesis
FBgn0026060;Glycolysis and neoglucogenesis
FBgn0026060;Glycolysis and neoglucogenesis
FBgn0026061;Glycolysis and neoglucogenesis
FBgn0026061;Glycolysis and neoglucogenesis
FBgn0034356;Glycolysis and neoglucogenesis
FBgn0034356;Glycolysis and neoglucogenesis
FBgn0003067;Glycolysis and neoglucogenesis
FBgn0003067;Glycolysis and neoglucogenesis
FBgn0012034;Pyruvate metabolism
FBgn0012034;Pyruvate metabolism
FBgn0029722;Pyruvate metabolism
FBgn0028325;Pyruvate metabolism
FBgn0028325;Pyruvate metabolism
FBgn0039635;Pyruvate metabolism
FBgn0039635;Pyruvate metabolism
FBgn0283658;Pyruvate metabolism
FBgn0283658;Pyruvate metabolism
FBgn0289579;Pyruvate metabolism
FBgn0289579;Pyruvate metabolism
FBgn0000055;Pyruvate metabolism
FBgn0000055;Pyruvate metabolism
FBgn0011768;Pyruvate metabolism
FBgn0011768;Pyruvate metabolism
FBgn0037537;Pyruvate metabolism
FBgn0038952;Pyruvate metabolism
FBgn0267385;Pyruvate metabolism
FBgn0267385;Pyruvate metabolism
FBgn0038258;Pyruvate metabolism
FBgn0031462;Pyruvate metabolism
FBgn0037115;Pyruvate metabolism
FBgn0036723;Pyruvate metabolism
FBgn0033246;Pyruvate metabolism
FBgn0033246;Pyruvate metabolism
FBgn0025115;Pyruvate metabolism
FBgn0025115;Pyruvate metabolism
FBgn0031700;Pyruvate metabolism
FBgn0038363;Pyruvate metabolism
FBgn0038363;Pyruvate metabolism
FBgn0040524;Pyruvate metabolism
FBgn0030078;Pyruvate metabolism
FBgn0033893;Pyruvate metabolism
FBgn0085190;Pyruvate metabolism
FBgn0012036;Pyruvate metabolism
FBgn0012036;Pyruvate metabolism
FBgn0051075;Pyruvate metabolism
FBgn0036857;Pyruvate metabolism
FBgn0036857;Pyruvate metabolism
FBgn0001258;Pyruvate metabolism
FBgn0001258;Pyruvate metabolism
FBgn0033856;Pyruvate metabolism
FBgn0283450;Pyruvate metabolism
FBgn0283450;Pyruvate metabolism
FBgn0037024;Pyruvate metabolism
FBgn0037024;Pyruvate metabolism
FBgn0037370;Pyruvate metabolism
FBgn0002719;Pyruvate metabolism
FBgn0002719;Pyruvate metabolism
FBgn0029155;Pyruvate metabolism
FBgn0029155;Pyruvate metabolism
FBgn0034127;Pyruvate metabolism
FBgn0029154;Pyruvate metabolism
FBgn0029154;Pyruvate metabolism
FBgn0029153;Pyruvate metabolism
FBgn0029153;Pyruvate metabolism
FBgn0027580;Pyruvate metabolism
FBgn0027580;Pyruvate metabolism
FBgn0262782;Pyruvate metabolism
FBgn0262782;Pyruvate metabolism
FBgn0036327;Pyruvate metabolism
FBgn0036328;Pyruvate metabolism
FBgn0262559;Pyruvate metabolism
FBgn0262559;Pyruvate metabolism
FBgn0286222;Pyruvate metabolism
FBgn0286222;Pyruvate metabolism
FBgn0036162;Pyruvate metabolism
FBgn0036162;Pyruvate metabolism
FBgn0051874;Pyruvate metabolism
FBgn0051874;Pyruvate metabolism
FBgn0029890;Pyruvate metabolism
FBgn0029890;Pyruvate metabolism
FBgn0034356;Pyruvate metabolism
FBgn0034356;Pyruvate metabolism
FBgn0003067;Pyruvate metabolism
FBgn0003067;Pyruvate metabolism
FBgn0029969;Pyruvate metabolism
FBgn0029969;Pyruvate metabolism
FBgn0035203;Pyruvate metabolism
FBgn0035203;Pyruvate metabolism
FBgn0261955;TCA
FBgn0261955;TCA
FBgn0037988;TCA
FBgn0037988;TCA
FBgn0020236;TCA
FBgn0020236;TCA
FBgn0010100;TCA
FBgn0010100;TCA
FBgn0024958;TCA
FBgn0024958;TCA
FBgn0037862;TCA
FBgn0037862;TCA
FBgn0024957;TCA
FBgn0024957;TCA
FBgn0001248;TCA
FBgn0001248;TCA
FBgn0038922;TCA
FBgn0038922;TCA
FBgn0039358;TCA
FBgn0039358;TCA
FBgn0035005;TCA
FBgn0052026;TCA
FBgn0027291;TCA
FBgn0027291;TCA
FBgn0035240;TCA
FBgn0010352;TCA
FBgn0010352;TCA
FBgn0037891;TCA
FBgn0037891;TCA
FBgn0289579;TCA
FBgn0289579;TCA
FBgn0038708;TCA
FBgn0038708;TCA
FBgn0004888;TCA
FBgn0004888;TCA
FBgn0029118;TCA
FBgn0029118;TCA
FBgn0037643;TCA
FBgn0037643;TCA
FBgn0261439;TCA
FBgn0261439;TCA
FBgn0036222;TCA
FBgn0036222;TCA
FBgn0014028;TCA
FBgn0014028;TCA
FBgn0030975;TCA
FBgn0030975;TCA
FBgn0037860;TCA
FBgn0037860;TCA
FBgn0037873;TCA
FBgn0037873;TCA
FBgn0039112;TCA
FBgn0039112;TCA
FBgn0286222;TCA
FBgn0286222;TCA
FBgn0036162;TCA
FBgn0036162;TCA
FBgn0051874;TCA
FBgn0051874;TCA
FBgn0029890;TCA
FBgn0029890;TCA
FBgn0262782;TCA
FBgn0262782;TCA
FBgn0036327;TCA
FBgn0036328;TCA
FBgn0262559;TCA
FBgn0262559;TCA
FBgn0027580;TCA
FBgn0027580;TCA
FBgn0034356;TCA
FBgn0034356;TCA
FBgn0003067;TCA
FBgn0003067;TCA
FBgn0029722;TCA
FBgn0028325;TCA
FBgn0028325;TCA
FBgn0039635;TCA
FBgn0039635;TCA
FBgn0283658;TCA
FBgn0283658;TCA
FBgn0013679;OXPHOS
FBgn0013679;OXPHOS
FBgn0013680;OXPHOS
FBgn0013680;OXPHOS
FBgn0013681;OXPHOS
FBgn0013681;OXPHOS
FBgn0262952;OXPHOS
