FBgn;CG;Gene;Group
FBgn0000064;CG6058;;Glycolysis
FBgn0000579;CG17654;;Glycolysis
FBgn0001091;CG12055;;Glycolysis
FBgn0001092;CG8893;;Glycolysis
FBgn0001128;CG9042;;Glycolysis
FBgn0001186;CG3001;;Glycolysis
FBgn0001187;CG8094;;Glycolysis
FBgn0001258;CG10160;;Glycolysis
FBgn0003071;CG4001;;Glycolysis
FBgn0003074;CG8251;;Glycolysis
FBgn0003386;CG2822;;Glycolysis
FBgn0004057;CG12529;;Glycolysis
FBgn0004647;;;Glycolysis
FBgn0010611;CG4311;;Glycolysis
FBgn0011270;CG17645;;Glycolysis
FBgn0014869;CG1721;;Glycolysis
FBgn0015360;CG32300;;Glycolysis
FBgn0025115;CG16870;;Glycolysis
FBgn0025394;CG32810;;Glycolysis
FBgn0027621;CG3400;;Glycolysis
FBgn0029795;CG15773;;Glycolysis
FBgn0030040;CG15347;;Glycolysis
FBgn0030239;CG17333;;Glycolysis
FBgn0030634;CG9164;;Glycolysis
FBgn0031451;CG9961;;Glycolysis
FBgn0031462;CG2964;;Glycolysis
FBgn0031700;CG14022;;Glycolysis
FBgn0031717;CG6957;;Glycolysis
FBgn0031972;CG7221;;Glycolysis
FBgn0032733;CG15170;;Glycolysis
FBgn0032820;CG31692;;Glycolysis
FBgn0033017;CG10465;;Glycolysis
FBgn0033893;CG18371;;Glycolysis
FBgn0034072;CG18250;;Glycolysis
FBgn0034173;CG9010;;Glycolysis
FBgn0034636;CG10440;;Glycolysis
FBgn0034662;CG13492;;Glycolysis
FBgn0034663;CG4363;;Glycolysis
FBgn0034664;CG4377;;Glycolysis
FBgn0035004;CG15874;;Glycolysis
FBgn0035849;CG7404;;Glycolysis
FBgn0036402;CG6650;;Glycolysis
FBgn0036662;CG9706;;Glycolysis
FBgn0036723;CG12229;;Glycolysis
FBgn0037115;CG11249;;Glycolysis
FBgn0037147;CG7140;;Glycolysis
FBgn0037244;CG14647;;Glycolysis
FBgn0037758;CG9467;;Glycolysis
FBgn0038258;CG7362;;Glycolysis
FBgn0038363;CG18505;;Glycolysis
FBgn0038839;CG10830;;Glycolysis
FBgn0038952;CG7069;;Glycolysis
FBgn0038957;CG7059;;Glycolysis
FBgn0039004;CG6958;;Glycolysis
FBgn0039425;CG5432;;Glycolysis
FBgn0039509;CG3350;;Glycolysis
FBgn0039580;CG1345;;Glycolysis
