#SUBMITTED ID;GO_BIOLOGICAL_PROCESS;GO_CELLULAR_COMPONENT;GO_MOLECULAR_FUNCTION;NAME;SYMBOL
FBgn0030040;-;-;-;-;CG15347
FBgn0046302;-;-;-;-;CG10650
FBgn0034664;-;-;-;-;CG4377
FBgn0034662;-;-;-;-;CG13492
FBgn0034664;-;-;-;-;CG4377
FBgn0030040;-;-;-;-;CG15347
FBgn0034664;-;-;-;-;CG4377
FBgn0046302;-;-;-;-;CG10650
FBgn0263773;-;"cellular_component ; GO:0005575 | is_active_in no biological data available <newline> cellular_component ; GO:0005575 |";"molecular_function ; GO:0003674 | enables no biological data available <newline> molecular_function ; GO:0003674 |";fledgling of Klp38B;fok
FBgn0051694;-;"cytosol ; GO:0005829 | located_in inferred from high throughput direct assay <newline> cytosol ; GO:0005829 |";-;Interferon-related developmental regulator 1;Ifrd1
FBgn0014469;-;"endomembrane system ; GO:0012505 | located_in inferred from high throughput direct assay <newline> endomembrane system ; GO:0012505 |";"iron ion binding ; GO:0005506 | enables inferred from electronic annotation with InterPro:IPR001128, InterPro:IPR002401, InterPro:IPR017972, InterPro:IPR036396 <newline> oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705 | enables inferred from electronic annotation with InterPro:IPR001128, InterPro:IPR002401, InterPro:IPR017972, InterPro:IPR036396 <newline> monooxygenase activity ; GO:0004497 | enables inferred from electronic annotation with InterPro:IPR001128, InterPro:IPR002401, InterPro:IPR036396 <newline> heme binding ; GO:0020037 | enables inferred from electronic annotation with InterPro:IPR001128, InterPro:IPR002401, InterPro:IPR036396 <newline> iron ion binding ; GO:0005506 | <newline> oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705 | <newline> monooxygenase activity ; GO:0004497 | <newline> heme binding ; GO:0020037 |";Cytochrome P450 4e2;Cyp4e2
FBgn0051694;-;"cytosol ; GO:0005829 | located_in inferred from high throughput direct assay <newline> cytosol ; GO:0005829 |";-;Interferon-related developmental regulator 1;Ifrd1
