#SUBMITTED ID;GO_BIOLOGICAL_PROCESS;GO_CELLULAR_COMPONENT;GO_MOLECULAR_FUNCTION;NAME;SYMBOL;JM;Pathway
FBgn0001258;"lactate metabolic process ; GO:0006089 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000166276 <newline> carboxylic acid metabolic process ; GO:0019752 | involved_in inferred from electronic annotation with InterPro:IPR001557 <newline> pyruvate metabolic process ; GO:0006090 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000166276 <newline> lactate metabolic process ; GO:0006089 | <newline> carboxylic acid metabolic process ; GO:0019752 | <newline> pyruvate metabolic process ; GO:0006090 |";"cytoplasm ; GO:0005737 | located_in inferred from electronic annotation with InterPro:IPR011304 <newline> mitochondrion ; GO:0005739 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN008678855 <newline> cytoplasm ; GO:0005737 | <newline> mitochondrion ; GO:0005739 |";"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; GO:0016616 | enables inferred from electronic annotation with InterPro:IPR001557, InterPro:IPR015955, InterPro:IPR022383 <newline> L-lactate dehydrogenase activity ; GO:0004459 | enables inferred from electronic annotation with InterPro:IPR011304, InterPro:IPR018177 <newline> oxidoreductase activity ; GO:0016491 | enables inferred from electronic annotation with InterPro:IPR001236 <newline> L-lactate dehydrogenase activity ; GO:0004459 | enables inferred from biological aspect of ancestor with PANTHER:PTN000166276 <newline> catalytic activity ; GO:0003824 | enables inferred from electronic annotation with InterPro:IPR015955 <newline> oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; GO:0016616 | <newline> L-lactate dehydrogenase activity ; GO:0004459 | <newline> oxidoreductase activity ; GO:0016491 | <newline> catalytic activity ; GO:0003824 |";Lactate dehydrogenase;Ldh;;Fermentation
FBgn0003074;"gluconeogenesis ; GO:0006094 | involved_in inferred from electronic annotation with InterPro:IPR001672, InterPro:IPR018189 <newline> gluconeogenesis ; GO:0006094 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000157839 <newline> glycolytic process ; GO:0006096 | involved_in inferred from electronic annotation with InterPro:IPR001672, InterPro:IPR018189, InterPro:IPR023096 <newline> glucose homeostasis ; GO:0042593 | involved_in inferred from mutant phenotype <newline> carbohydrate derivative metabolic process ; GO:1901135 | involved_in inferred from electronic annotation with InterPro:IPR046348 <newline> glucose 6-phosphate metabolic process ; GO:0051156 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000157839 <newline> glycolytic process ; GO:0006096 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000157839 <newline> gluconeogenesis ; GO:0006094 | <newline> glycolytic process ; GO:0006096 | <newline> glucose homeostasis ; GO:0042593 | <newline> carbohydrate derivative metabolic process ; GO:1901135 | <newline> glucose 6-phosphate metabolic process ; GO:0051156 |";"cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000157839 <newline> cytosol ; GO:0005829 | located_in inferred from direct assay <newline> cytosol ; GO:0005829 |";"carbohydrate derivative binding ; GO:0097367 | enables inferred from electronic annotation with InterPro:IPR046348 <newline> monosaccharide binding ; GO:0048029 | enables inferred from biological aspect of ancestor with PANTHER:PTN000157839 <newline> glucose-6-phosphate isomerase activity ; GO:0004347 | enables inferred from electronic annotation with InterPro:IPR001672, InterPro:IPR018189, InterPro:IPR023096 <newline> glucose-6-phosphate isomerase activity ; GO:0004347 | enables inferred from direct assay <newline> glucose-6-phosphate isomerase activity ; GO:0004347 | enables inferred from biological aspect of ancestor with PANTHER:PTN000157839 <newline> carbohydrate derivative binding ; GO:0097367 | <newline> monosaccharide binding ; GO:0048029 | <newline> glucose-6-phosphate isomerase activity ; GO:0004347 |";Phosphoglucose isomerase;Pgi;;Gluconeogenesis
FBgn0034356;"cellular response to dexamethasone stimulus ; GO:0071549 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000169232 <newline> response to starvation ; GO:0042594 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000169226 <newline> gluconeogenesis ; GO:0006094 | involved_in inferred from electronic annotation with InterPro:IPR008209, InterPro:IPR008210, InterPro:IPR013035, InterPro:IPR035077, InterPro:IPR035078 <newline> gluconeogenesis ; GO:0006094 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000169226 <newline> glycerol biosynthetic process from pyruvate ; GO:0046327 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000169226 <newline> cellular response to glucose stimulus ; GO:0071333 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000169226 <newline> cellular response to insulin stimulus ; GO:0032869 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000169232 <newline> propionate catabolic process ; GO:0019543 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000169226 <newline> gluconeogenesis ; GO:0006094 | involved_in inferred from sequence or structural similarity with UniProtKB:P07379 <newline> cellular response to dexamethasone stimulus ; GO:0071549 | <newline> response to starvation ; GO:0042594 | <newline> gluconeogenesis ; GO:0006094 | <newline> glycerol biosynthetic process from pyruvate ; GO:0046327 | <newline> cellular response to glucose stimulus ; GO:0071333 | <newline> cellular response to insulin stimulus ; GO:0032869 | <newline> propionate catabolic process ; GO:0019543 |";"cytoplasm ; GO:0005737 | located_in inferred from sequence or structural similarity with UniProtKB:P07379 <newline> cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000169226 <newline> cytoplasm ; GO:0005737 | <newline> cytosol ; GO:0005829 |";"GTP binding ; GO:0005525 | enables inferred from electronic annotation with InterPro:IPR008209 <newline> purine nucleotide binding ; GO:0017076 | enables inferred from electronic annotation with InterPro:IPR008210, InterPro:IPR013035 <newline> phosphoenolpyruvate carboxykinase (GTP) activity ; GO:0004613 | enables inferred from electronic annotation with InterPro:IPR018091 <newline> manganese ion binding ; GO:0030145 | enables inferred from biological aspect of ancestor with PANTHER:PTN000169226 <newline> phosphoenolpyruvate carboxykinase activity ; GO:0004611 | enables inferred from electronic annotation with InterPro:IPR008209, InterPro:IPR008210, InterPro:IPR013035, InterPro:IPR035077, InterPro:IPR035078 <newline> phosphoenolpyruvate carboxykinase (GTP) activity ; GO:0004613 | enables inferred from biological aspect of ancestor with PANTHER:PTN000169226 <newline> phosphoenolpyruvate carboxykinase (GTP) activity ; GO:0004613 | enables inferred from sequence or structural similarity with UniProtKB:P07379 <newline> GTP binding ; GO:0005525 | <newline> purine nucleotide binding ; GO:0017076 | <newline> phosphoenolpyruvate carboxykinase (GTP) activity ; GO:0004613 | <newline> manganese ion binding ; GO:0030145 | <newline> phosphoenolpyruvate carboxykinase activity ; GO:0004611 |";Phosphoenolpyruvate carboxykinase 2;Pepck2;;Gluconeogenesis
FBgn0250906;"chemical synaptic transmission ; GO:0007268 | involved_in inferred from direct assay <newline> gluconeogenesis ; GO:0006094 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000150497 <newline> glycolytic process ; GO:0006096 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000150497 <newline> glycolytic process ; GO:0006096 | involved_in inferred from electronic annotation with InterPro:IPR001576, InterPro:IPR015824, InterPro:IPR015911, InterPro:IPR036043 <newline> glycolytic process ; GO:0006096 | involved_in inferred from sequence or structural similarity with SGD:S000000605 <newline> phosphorylation ; GO:0016310 | involved_in inferred from sequence or structural similarity with UniProtKB:P41759 <newline> muscle cell cellular homeostasis ; GO:0046716 | involved_in inferred from genetic interaction with Dg <newline> chemical synaptic transmission ; GO:0007268 | <newline> gluconeogenesis ; GO:0006094 | <newline> glycolytic process ; GO:0006096 | <newline> phosphorylation ; GO:0016310 | <newline> muscle cell cellular homeostasis ; GO:0046716 |";"Z disc ; GO:0030018 | located_in inferred from direct assay <newline> M band ; GO:0031430 | located_in inferred from direct assay <newline> cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000150497 <newline> Z disc ; GO:0030018 | <newline> M band ; GO:0031430 | <newline> cytosol ; GO:0005829 |";"phosphoglycerate kinase activity ; GO:0004618 | enables inferred from sequence or structural similarity <newline> ATP binding ; GO:0005524 | enables inferred from biological aspect of ancestor with PANTHER:PTN000150497 <newline> phosphoglycerate kinase activity ; GO:0004618 | enables inferred from electronic annotation with InterPro:IPR001576, InterPro:IPR015824, InterPro:IPR015911, InterPro:IPR036043 <newline> ADP binding ; GO:0043531 | enables inferred from biological aspect of ancestor with PANTHER:PTN000150497 <newline> phosphoglycerate kinase activity ; GO:0004618 | enables inferred from biological aspect of ancestor with PANTHER:PTN000150497 <newline> phosphoglycerate kinase activity ; GO:0004618 | enables inferred from sequence or structural similarity with SGD:S000000605 <newline> ATP binding ; GO:0005524 | enables inferred from sequence or structural similarity with UniProtKB:P00559 <newline> phosphoglycerate kinase activity ; GO:0004618 | <newline> ATP binding ; GO:0005524 | <newline> ADP binding ; GO:0043531 |";Phosphoglycerate kinase;Pgk;;Gluconeogenesis
FBgn0000064;"fructose 1,6-bisphosphate metabolic process ; GO:0030388 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000179343 <newline> glycolytic process ; GO:0006096 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000179343 <newline> glucose homeostasis ; GO:0042593 | involved_in inferred from mutant phenotype <newline> glycolytic process ; GO:0006096 | involved_in inferred from direct assay <newline> glycolytic process ; GO:0006096 | involved_in inferred from electronic annotation with InterPro:IPR000741 <newline> mesoderm development ; GO:0007498 | involved_in non-traceable author statement <newline> fructose 1,6-bisphosphate metabolic process ; GO:0030388 | <newline> glycolytic process ; GO:0006096 | <newline> glucose homeostasis ; GO:0042593 | <newline> mesoderm development ; GO:0007498 |";"cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000179343 <newline> Z disc ; GO:0030018 | located_in inferred from direct assay <newline> M band ; GO:0031430 | located_in inferred from direct assay <newline> cytosol ; GO:0005829 | located_in inferred from high throughput direct assay <newline> cytosol ; GO:0005829 | <newline> Z disc ; GO:0030018 | <newline> M band ; GO:0031430 |";"fructose-bisphosphate aldolase activity ; GO:0004332 | enables inferred from direct assay <newline> fructose-bisphosphate aldolase activity ; GO:0004332 | enables inferred from electronic annotation with InterPro:IPR000741 <newline> fructose-bisphosphate aldolase activity ; GO:0004332 | enables inferred from biological aspect of ancestor with PANTHER:PTN000179343 <newline> fructose-bisphosphate aldolase activity ; GO:0004332 |";Aldolase 1;Ald1;;Glycolysis
FBgn0000579;"canonical glycolysis ; GO:0061621 | involved_in inferred from sequence or structural similarity with UniProtKB:P06733 <newline> glycolytic process ; GO:0006096 | involved_in inferred from electronic annotation with InterPro:IPR000941 <newline> glycolytic process ; GO:0006096 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000224401 <newline> glucose homeostasis ; GO:0042593 | involved_in inferred from mutant phenotype <newline> canonical glycolysis ; GO:0061621 | <newline> glycolytic process ; GO:0006096 | <newline> glucose homeostasis ; GO:0042593 |";"phosphopyruvate hydratase complex ; GO:0000015 | part_of inferred from sequence or structural similarity with UniProtKB:P06733 <newline> cytoplasm ; GO:0005737 | located_in inferred from high throughput direct assay <newline> phosphopyruvate hydratase complex ; GO:0000015 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000224401 <newline> phosphopyruvate hydratase complex ; GO:0000015 | part_of inferred from electronic annotation with InterPro:IPR000941 <newline> plasma membrane ; GO:0005886 | located_in inferred from high throughput direct assay <newline> phosphopyruvate hydratase complex ; GO:0000015 | <newline> cytoplasm ; GO:0005737 | <newline> plasma membrane ; GO:0005886 |";"phosphopyruvate hydratase activity ; GO:0004634 | enables inferred from sequence or structural similarity with UniProtKB:P06733 <newline> phosphopyruvate hydratase activity ; GO:0004634 | enables inferred from biological aspect of ancestor with PANTHER:PTN000224401 <newline> phosphopyruvate hydratase activity ; GO:0004634 | enables inferred from electronic annotation with InterPro:IPR000941 <newline> magnesium ion binding ; GO:0000287 | enables inferred from electronic annotation with InterPro:IPR000941 <newline> phosphopyruvate hydratase activity ; GO:0004634 | <newline> magnesium ion binding ; GO:0000287 |";Enolase;Eno;;Glycolysis
FBgn0001091;"glucose metabolic process ; GO:0006006 | involved_in inferred from electronic annotation with InterPro:IPR006424 <newline> glycolytic process ; GO:0006096 | involved_in inferred from expression pattern <newline> glycolytic process ; GO:0006096 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000089475 <newline> glucose metabolic process ; GO:0006006 | <newline> glycolytic process ; GO:0006096 |";"cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000089475 <newline> Z disc ; GO:0030018 | located_in inferred from direct assay <newline> M band ; GO:0031430 | located_in inferred from direct assay <newline> cytosol ; GO:0005829 | <newline> Z disc ; GO:0030018 | <newline> M band ; GO:0031430 |";"NAD binding ; GO:0051287 | enables inferred from electronic annotation with InterPro:IPR006424, InterPro:IPR020828 <newline> glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity ; GO:0004365 | enables inferred from biological aspect of ancestor with PANTHER:PTN000089475 <newline> NADP binding ; GO:0050661 | enables inferred from electronic annotation with InterPro:IPR006424 <newline> glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity ; GO:0004365 | enables inferred from direct assay <newline> peptidyl-cysteine S-nitrosylase activity ; GO:0035605 | enables inferred from sequence or structural similarity with UniProtKB:P04797 <newline> oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor ; GO:0016620 | enables inferred from electronic annotation with InterPro:IPR006424, InterPro:IPR020829, InterPro:IPR020830, InterPro:IPR020831 <newline> NAD binding ; GO:0051287 | <newline> glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity ; GO:0004365 | <newline> NADP binding ; GO:0050661 | <newline> peptidyl-cysteine S-nitrosylase activity ; GO:0035605 | <newline> oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor ; GO:0016620 |";Glyceraldehyde 3 phosphate dehydrogenase 1;Gapdh1;;Glycolysis
FBgn0001092;"glucose homeostasis ; GO:0042593 | involved_in inferred from mutant phenotype <newline> glycolytic process ; GO:0006096 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000089475 <newline> glucose metabolic process ; GO:0006006 | involved_in inferred from electronic annotation with InterPro:IPR006424 <newline> glycolytic process ; GO:0006096 | involved_in inferred from expression pattern <newline> glucose homeostasis ; GO:0042593 | <newline> glycolytic process ; GO:0006096 | <newline> glucose metabolic process ; GO:0006006 |";"cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000089475 <newline> cytosol ; GO:0005829 |";"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor ; GO:0016620 | enables inferred from electronic annotation with InterPro:IPR006424, InterPro:IPR020829, InterPro:IPR020830, InterPro:IPR020831 <newline> NAD binding ; GO:0051287 | enables inferred from electronic annotation with InterPro:IPR006424, InterPro:IPR020828 <newline> peptidyl-cysteine S-nitrosylase activity ; GO:0035605 | enables inferred from sequence or structural similarity with UniProtKB:P04797 <newline> glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity ; GO:0004365 | enables inferred from biological aspect of ancestor with PANTHER:PTN000089475 <newline> glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity ; GO:0004365 | enables inferred from direct assay <newline> NADP binding ; GO:0050661 | enables inferred from electronic annotation with InterPro:IPR006424 <newline> oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor ; GO:0016620 | <newline> NAD binding ; GO:0051287 | <newline> peptidyl-cysteine S-nitrosylase activity ; GO:0035605 | <newline> glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity ; GO:0004365 | <newline> NADP binding ; GO:0050661 |";Glyceraldehyde 3 phosphate dehydrogenase 2;Gapdh2;;Glycolysis
FBgn0003071;"fructose 6-phosphate metabolic process ; GO:0006002 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> response to sucrose ; GO:0009744 | involved_in inferred from mutant phenotype <newline> fructose 6-phosphate metabolic process ; GO:0006002 | involved_in inferred from electronic annotation with InterPro:IPR022953 <newline> fructose 1,6-bisphosphate metabolic process ; GO:0030388 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> glycolytic process ; GO:0006096 | involved_in inferred from mutant phenotype <newline> glycolytic process ; GO:0006096 | involved_in inferred from electronic annotation with InterPro:IPR000023, InterPro:IPR009161, InterPro:IPR015912, InterPro:IPR022953, InterPro:IPR035966 <newline> glucose homeostasis ; GO:0042593 | involved_in inferred from mutant phenotype <newline> canonical glycolysis ; GO:0061621 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> fructose 6-phosphate metabolic process ; GO:0006002 | <newline> response to sucrose ; GO:0009744 | <newline> fructose 1,6-bisphosphate metabolic process ; GO:0030388 | <newline> glycolytic process ; GO:0006096 | <newline> glucose homeostasis ; GO:0042593 | <newline> canonical glycolysis ; GO:0061621 |";"6-phosphofructokinase complex ; GO:0005945 | part_of inferred by curator from GO:0003872 <newline> 6-phosphofructokinase complex ; GO:0005945 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> cytoplasm ; GO:0005737 | located_in inferred from electronic annotation with InterPro:IPR009161 <newline> 6-phosphofructokinase complex ; GO:0005945 | <newline> cytoplasm ; GO:0005737 |";"ATP binding ; GO:0005524 | enables inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> 6-phosphofructokinase activity ; GO:0003872 | enables inferred from mutant phenotype <newline> ATP binding ; GO:0005524 | enables inferred from electronic annotation with InterPro:IPR009161 <newline> AMP binding ; GO:0016208 | enables inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> 6-phosphofructokinase activity ; GO:0003872 | enables inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> identical protein binding ; GO:0042802 | enables inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> fructose-6-phosphate binding ; GO:0070095 | enables inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> 6-phosphofructokinase activity ; GO:0003872 | enables inferred from electronic annotation with InterPro:IPR000023, InterPro:IPR009161, InterPro:IPR015912, InterPro:IPR022953, InterPro:IPR035966 <newline> monosaccharide binding ; GO:0048029 | enables inferred from biological aspect of ancestor with PANTHER:PTN000344216 <newline> ATP binding ; GO:0005524 | <newline> 6-phosphofructokinase activity ; GO:0003872 | <newline> AMP binding ; GO:0016208 | <newline> identical protein binding ; GO:0042802 | <newline> fructose-6-phosphate binding ; GO:0070095 | <newline> monosaccharide binding ; GO:0048029 |";Phosphofructokinase;Pfk;;Glycolysis
FBgn0014869;"glycolytic process ; GO:0006096 | involved_in inferred from electronic annotation with InterPro:IPR005952 <newline> glycolytic process ; GO:0006096 |";"Z disc ; GO:0030018 | located_in inferred from direct assay <newline> M band ; GO:0031430 | located_in inferred from direct assay <newline> Z disc ; GO:0030018 | <newline> M band ; GO:0031430 |";"catalytic activity ; GO:0003824 | enables inferred from electronic annotation with InterPro:IPR001345 <newline> bisphosphoglycerate mutase activity ; GO:0004082 | enables inferred from sequence or structural similarity with UniProtKB:P18669 <newline> intramolecular transferase activity, phosphotransferases ; GO:0016868 | enables inferred from electronic annotation with InterPro:IPR005952 <newline> phosphoglycerate mutase activity ; GO:0004619 | enables inferred from electronic annotation with InterPro:IPR005952 <newline> 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity ; GO:0046538 | enables inferred from sequence or structural similarity with UniProtKB:P18669 <newline> catalytic activity ; GO:0003824 | <newline> bisphosphoglycerate mutase activity ; GO:0004082 | <newline> intramolecular transferase activity, phosphotransferases ; GO:0016868 | <newline> phosphoglycerate mutase activity ; GO:0004619 | <newline> 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity ; GO:0046538 |";Phosphoglyceromutase 78;Pglym78;;Glycolysis
